기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	성동구	보건업 및 사회복지 서비스업	748	322	8,539	1,761	6,778	570	3,713	10	298	44	2,889	124	1,639	712	5,849	5	80	31	2,610
2018	성동구	예술 스포츠 및 여가관련 서비스업	581	233	2,157	1,178	979	501	1,053	48	391	20	676	12	37	548	1,601	7	244	26	312
2018	성동구	협회 및 단체 수리 및 기타 개인 서비스업	2,115	926	7,612	4,819	2,793	1,563	2,942	155	2,903	133	1,006	264	761	1,986	5,300	23	604	106	1,708
2018	광진구	합계	24,535	8,948	127,879	69,442	58,437	19,968	50,585	3,422	50,879	514	22,572	631	3,843	23,054	85,122	335	20,134	1,146	22,623
2018	광진구	농업 임업 및 어업	1	-	3	1	2	-	-	-	-	1	3	-	-	1	3	-	-	-	-
2018	광진구	제조업	1,707	455	7,198	3,774	3,424	1,451	5,007	252	2,042	2	117	2	32	1,667	6,492	25	520	15	186
2018	광진구	전기 가스 증기 및 공기조절 공급업	3	-	69	63	6	2	3	-	-	1	66	-	-	2	3	-	-	1	66
2018	광진구	수도 하수 및 폐기물 처리 원료 재생업	16	3	244	216	28	-	-	11	150	5	94	-	-	14	213	-	-	2	31
2018	광진구	건설업	784	102	13,397	11,927	1,470	447	1,314	336	12,082	1	1	-	-	736	6,940	26	6,033	22	424
2018	광진구	도매 및 소매업	5,889	2,118	19,023	10,417	8,606	4,624	10,122	1,245	8,798	20	103	-	-	5,380	14,240	120	1,695	389	3,088
2018	광진구	운수 및 창고업	2,519	97	5,828	5,397	431	2,418	2,889	77	2,088	24	851	-	-	2,461	4,251	4	12	54	1,565
2018	광진구	숙박 및 음식점업	4,764	2,544	17,023	7,341	9,682	4,490	13,472	263	3,497	11	54	-	-	4,571	14,003	14	121	179	2,899
2018	광진구	정보통신업	345	60	3,720	2,323	1,397	111	318	223	2,436	10	964	1	2	309	2,560	16	395	20	765
2018	광진구	금융 및 보험업	235	43	4,739	2,584	2,155	46	95	151	4,007	38	637	-	-	106	890	15	619	114	3,230
